homem mulher menino menina
rei rainha príncipe princesa
pai mãe filho filha
tio tia sobrinho sobrinha
avô avó neto neta
marido esposa noivo noiva
garoto garota rapaz moça
ator atriz cantor cantora
poeta poetisa autor autora
professor professora doutor doutora
policial policiala advogado advogada
jogador jogadora nadador nadadora
pintor pintora escultor escultora
diretor diretora chefe chefa
mestre mestra sacerdote sacerdotisa
ministro ministra presidente presidenta
leão leoa tigre tigresa
cachorro cadela gato gata
cavalo égua touro vaca
herói heroína deus deusa
imperador imperatriz embaixador embaixadora
governador governadora senador senadora
editor editora escritor escritora
piloto pilota doutor doutora
sogro sogra genro nora
genro nora pai mãe
poeta poetisa príncipe princesa
rei rainha bispo bispa
filho filha irmão irmã
marido esposa viúvo viúva
tio tia neto neta
galo galinha pato pata
garçom garçonete anfitrião anfitriã
rei rainha conde condessa
duque duquesa visconde viscondessa
barão baronesa arcebispo arcebispa
cardeal cardeala abade abadessa
herdeiro herdeira guardião guardiã
senhor senhora monge monja
patrão patroa bicho bicha
diretor diretora chefe chefa
mestre mestra sacerdote sacerdotisa
ator atriz cantor cantora
poeta poetisa autor autora
herói heroína deus deusa
imperador imperatriz governador governadora
embaixador embaixadora senador senadora
leão leoa tigre tigresa
cachorro cadela gato gata
cavalo égua touro vaca
editor editora escritor escritora
piloto pilota doutor doutora
sogro sogra genro nora
marido esposa noivo noiva
tio tia sobrinho sobrinha
professor professora doutor doutora
policial policiala advogado advogada
jogador jogadora nadador nadadora
pintor pintora escultor escultora
diretor diretora chefe chefa
mestre mestra sacerdote sacerdotisa
ministro ministra presidente presidenta
garoto garota rapaz moça
herói heroína deus deusa
imperador imperatriz embaixador embaixadora
governador governadora senador senadora
ator atriz cantor cantora
poeta poetisa autor autora
leão leoa tigre tigresa
cachorro cadela gato gata
cavalo égua touro vaca
galo galinha pato pata
rei rainha príncipe princesa
pai mãe filho filha
tio tia sobrinho sobrinha
avô avó neto neta
marido esposa noivo noiva
garoto garota rapaz moça
ator atriz cantor cantora
poeta poetisa autor autora
professor professora doutor doutora
policial policiala advogado advogada
jogador jogadora nadador nadadora
pintor pintora escultor escultora
diretor diretora chefe chefa
mestre mestra sacerdote sacerdotisa
ministro ministra presidente presidenta
leão leoa tigre tigresa
cachorro cadela gato gata
cavalo égua touro vaca
herói heroína deus deusa
imperador imperatriz embaixador embaixadora
governador governadora senador senadora
editor editora escritor escritora
piloto pilota doutor doutora
sogro sogra genro nora
genro nora pai mãe
poeta poetisa príncipe princesa
rei rainha bispo bispa
filho filha irmão irmã
marido esposa viúvo viúva
tio tia neto neta
galo galinha pato pata
garçom garçonete anfitrião anfitriã
rei rainha conde condessa
duque duquesa visconde viscondessa
barão baronesa arcebispo arcebispa
cardeal cardeala abade abadessa
herdeiro herdeira guardião guardiã
senhor senhora monge monja
patrão patroa bicho bicha
diretor diretora chefe chefa
mestre mestra sacerdote sacerdotisa
ator atriz cantor cantora
poeta poetisa autor autora
herói heroína deus deusa
imperador imperatriz governador governadora
embaixador embaixadora senador senadora
leão leoa tigre tigresa
cachorro cadela gato gata
cavalo égua touro vaca
editor editora escritor escritora
piloto pilota doutor doutora
sogro sogra genro nora
marido esposa noivo noiva
tio tia sobrinho sobrinha
professor professora doutor doutora
policial policiala advogado advogada
jogador jogadora nadador nadadora
pintor pintora escultor escultora
diretor diretora chefe chefa
mestre mestra sacerdote sacerdotisa
ministro ministra presidente presidenta
garoto garota rapaz moça
herói heroína deus deusa
imperador imperatriz embaixador embaixadora
governador governadora senador senadora
ator atriz cantor cantora
poeta poetisa autor autora
leão leoa tigre tigresa
cachorro cadela gato gata
cavalo égua touro vaca
galo galinha pato pata
rei rainha príncipe princesa
pai mãe filho filha
tio tia sobrinho sobrinha
avô avó neto neta
marido esposa noivo noiva
