Resultado das Analogias
Base            | Target          | Palavras Preditas                        | Acurácia da Analogias
------------------------------------------------------------------------------------------
rei             | rainha          | cristo, relata, irmã, senhor, lobo, clara, pai, mito, testemunha, profeta | 0.0000
pai             | mãe             | mãe, esposa, namorada, bruxa, rapaz, mae, questionas, irma, filho, ensinou | 1.0000
gato            | felino          | bruxa, rabo, primo, caralho, safada, rezar, gorda, dançou, acariciar, decepcionei | 0.0000
escola          | professor       | vila, palácio, colégio, jornalista, paulista, direcção, organizou, aeroporto, brasília, gomes | 0.0000
médico          | paciente        | objetivas, questão, submetido, petismo, acusado, despertar, aborto, ato, tese, autoridade | 0.0000
amigo           | amiga           | adicionar, mando, inesperado, quebrado, escrever, deixes, belinha, jabor, abraços, apaixonado | 0.0000
lago            | mar             | bloomberg, aldeia, beira, beirão, ribeirinhas, pouso, ressucitado, circo, desmantelou, gruta | 0.0000
vermelho        | azul            | hemoglobina, chapéuzinho, fundiu, bombeiro, chorosa, arco, capac, janto, espada, pá | 0.0000
luz             | noite           | pés, direção, barco, calor, corta, atravessar, bloomberg, sombra, guarda, cheia | 0.0000
velho           | jovem           | jojo, monte, tricolor, veio, portela, rumo, lobo, bloomberg, capivari, ponte | 0.0000
mãe             | pai             | rapaz, menino, bruxa, tô, andava, repente, debaixo, lembra, coração, estás | 0.0000
carro           | ônibus          | saindo, porta, descer, arma, comprado, totalmente, almoco, ligar, anunciando, garrafa | 0.0000
sol             | lua             | pés, sombra, inverno, céu, prá, nuvens, cai, chuva, cheia, emoção | 0.0000
cachorro        | gato            | loira, foda, gorda, hein, bruxa, morena, comendo, cu, chapeuzinho, puta | 0.0000
escola          | professor       | vila, palácio, colégio, jornalista, paulista, direcção, organizou, aeroporto, brasília, gomes | 0.0000
médico          | paciente        | objetivas, questão, submetido, petismo, acusado, despertar, aborto, ato, tese, autoridade | 0.0000
quente          | frio            | pés, fria, delicioso, calor, cabeça, pé, fogo, vagido, pega, pernas | 0.0000
mar             | oceano          | sol, monte, revoadas, passeio, revolto, lago, sogra, céu, voltei, inverno | 0.0000
rápido          | lento           | paxson, indemnização, disposição, consistentemente, falhanço, neurónios, escaparam, aumentando, obstáculos, situações | 0.0000
dia             | noite           | sugado, domingo, manha, nubentes, noite, recepo, tepalmela, 查看所有群组, consaúde, sabado | 1.0000
fruta           | maçã            | claras, chocolate, farinha, pietra, suaves, delicioso, dentes, azeite, carne, batatas | 0.0000
avó             | avô             | diabo, covardia, ténue, flor, comeu, gorda, cala, irmã, bruxa, molhadinhas | 0.0000
escritor        | livro           | mestre, poeta, filipe, luiz, jesus, louvado, pastor, nasce, contou, professora | 0.0000
político        | governo         | acção, afirma, justiça, defende, assume, petroassist, ultrapassagem, empregador, senado, vítima | 0.0000
telefone        | celular         | fax, fone, cel, tel, morada, rua, cep, eventosaabicorgbr, calaca, gislenealencar | 0.0000
cineasta        | filme           | emblemático, juca, vanderlei, gustavo, pianista, usain, larissa, fritz, katia, maya | 0.0000
pintor          | quadro          | confusos, discernimento, estrangeiras, esfera, porventura, planeiam, aconselhável, depreciativo, vilanovense, rookies | 0.0000
cão             | cachorro        | dequejeito, desejares, densa, reraise, louquitchas, enxergava, peladinhas, densky, experimentando, crediário | 0.0000
verão           | inverno         | inverno, termina, desmantelou, nabucodonozor, chegámos, dragonfly, cerimônia, salgadinho, ressurreição, garatujas | 1.0000
jogo            | jogador         | assistiu, jogar, personagem, ttulo, abordo, acaro, treino, flamengo, vencedor, harry | 0.0000
música          | melodia         | poesia, musica, literatura, musical, livros, ツ, amantes, trevas, tolkien, evangelizar | 0.0000
linguagem       | código          | utilizada, desenvolver, permite, através, negócio, conceitos, possível, validação, tendência, interação | 0.0000
café            | chá             | manhã, sugarpax, recomecei, desmantelou, inaparente, incorporador, cobiçarás, aeromodelos, fixes, mentirinhas | 0.0000
estudante       | professor       | celebra, representante, colaborou, conquista, colégio, família, mineira, produtor, prefeito, formado | 0.0000
fogo            | chama           | pé, quente, pés, perigoso, vagido, pisar, fria, vovó, suando, garganta | 0.0000
pai             | mãe             | mãe, esposa, namorada, bruxa, rapaz, mae, questionas, irma, filho, ensinou | 1.0000
cachorro        | cachorro        | loira, foda, gorda, hein, bruxa, morena, comendo, cu, chapeuzinho, puta | 0.0000
professor       | aluno           | dirceu, taniguchi, pmdb, luiz, concurso, payout, colégio, doutorado, fotógrafo, bispo | 0.0000
médico          | enfermeira      | objetivas, questão, submetido, petismo, acusado, despertar, aborto, ato, tese, autoridade | 0.0000
avô             | avó             | hubble, automatizadas, cansaço, sefirah, discursivas, binah, eucaristia, madura, cassie, martha | 0.0000
professor       | estudante       | dirceu, taniguchi, pmdb, luiz, concurso, payout, colégio, doutorado, fotógrafo, bispo | 0.0000
carro           | motorista       | saindo, porta, descer, arma, comprado, totalmente, almoco, ligar, anunciando, garrafa | 0.0000
sol             | lua             | pés, sombra, inverno, céu, prá, nuvens, cai, chuva, cheia, emoção | 0.0000
verão           | inverno         | inverno, termina, desmantelou, nabucodonozor, chegámos, dragonfly, cerimônia, salgadinho, ressurreição, garatujas | 1.0000
pão             | manteiga        | reservei, traje, garrafão, embuste, íris, mentir, levemente, acenda, soava, açúcar | 0.0000
pintor          | quadro          | confusos, discernimento, estrangeiras, esfera, porventura, planeiam, aconselhável, depreciativo, vilanovense, rookies | 0.0000
música          | melodia         | poesia, musica, literatura, musical, livros, ツ, amantes, trevas, tolkien, evangelizar | 0.0000
navio           | mar             | ameaça, grandeza, ressucitado, mentir, assalto, vitoriosos, sabrosa, conformar, modista, celibato | 0.0000
fogo            | calor           | pé, quente, pés, perigoso, vagido, pisar, fria, vovó, suando, garganta | 0.0000
flor            | jardim          | sorriu, burro, avó, virgem, hipófise, ténue, gorda, molhadinhas, céu, lua | 0.0000
tenis           | jogador         | vinil, mdf, raiņa, camisas, sauna, almofadas, consolas, câmeras, relgio, frigobar | 0.0000
caminho         | estrada         | rumo, descobrir, longe, nevando, respirar, aliás, aproveitar, desistir, chegar, roteiro | 0.0000
livro           | leitura         | congestionamento, viewpoint, provas, escrito, tema, escreverei, conclusão, aceda, indicação, propósito | 0.0000
telefone        | comunicação     | fax, fone, cel, tel, morada, rua, cep, eventosaabicorgbr, calaca, gislenealencar | 0.0000
guitarra        | violão          | contrabaixo, maísa, sandy, morangos, zper, anahi, agressão, garu, rosa, igarapés | 0.0000
fruta           | maçã            | claras, chocolate, farinha, pietra, suaves, delicioso, dentes, azeite, carne, batatas | 0.0000
pintura         | cor             | fotografia, infantil, mascote, pantufinhas, rádio, escultura, filmagem, artesanato, sindicação, criativa | 0.0000
lápis           | papel           | uhuuuuuuuu, dizes, impassíveis, conseguindoo, sonorizando, ausa, bobi, mount, irrisória, tropeços | 0.0000
computador      | tecnologia      | aparelho, wirelles, usando, visual, instalar, externo, virus, gravados, executar, rápido | 0.0000
lago            | água            | bloomberg, aldeia, beira, beirão, ribeirinhas, pouso, ressucitado, circo, desmantelou, gruta | 0.0000
sol             | calor           | pés, sombra, inverno, céu, prá, nuvens, cai, chuva, cheia, emoção | 0.0000
programador     | código          | privatizada, mindset, mysql, relacional, cédula, fotorreceptora, expedida, kameraeskura, mika, mec | 0.0000
avião           | voo             | vagabundo, balbúrdia, tamnho, reformista, sabrosa, deitou, porzio, rabuda, agonia, pegamos | 0.0000
tênis           | jogador         | sopas, potes, zebras, flange, susuk, dramaduração, craniano, matraca, alemaniaandorraargentinaaustraliaaustriaboliviabosniaherzbrasilbulgariablgicacanadchilechinacolombiacosta, homogêneo | 0.0000
festa           | comemoração     | hj, começa, chegando, balada, clima, prá, passei, noite, fantasia, brincadeiras | 0.0000
cidade          | metrópole       | interior, paisagem, salvador, localizada, bairro, estrategicamente, cptm, zona, ruas, recife | 0.0000
floresta        | árvore          | deleites, marginais, abundância, assaltos, gado, robustos, moradores, pedras, ladrões, penetra | 0.0000
número          | matemática      | números, realização, avanço, dívida, aumento, distância, refere, mudança, devido, populacional | 0.0000
óleo            | cozinha         | polvilhada, colherinha, polvilhar, connectors, fermento, slm, chá, fubá, sinhá, melee | 0.0000
chave           | fechadura       | rápida, retirar, colar, traba, frequência, energético, belinha, senhoritas, determinação, droga | 0.0000
conta           | banco           | banco, pontual, presumivelmente, imc, ligado, registrar, escolheu, pertences, pifar, montar | 1.0000
livro           | capítulo        | congestionamento, viewpoint, provas, escrito, tema, escreverei, conclusão, aceda, indicação, propósito | 0.0000
escola          | aluno           | vila, palácio, colégio, jornalista, paulista, direcção, organizou, aeroporto, brasília, gomes | 0.0000
avião           | viagem          | vagabundo, balbúrdia, tamnho, reformista, sabrosa, deitou, porzio, rabuda, agonia, pegamos | 0.0000
aroma           | perfume         | sabor, carne, frutose, sementes, conservadora, desinteressado, arroz, leves, carboidratos, claras | 0.0000
cabelo          | cabeleireiro    | delicioso, scalp, cheiro, chocolate, pele, junte, dentes, cabelos, molho, cortar | 0.0000
estudo          | livro           | estudos, responsável, analise, profissão, aponta, científica, entidade, física, fundamental, acordo | 0.0000
jornal          | notícia         | entrevista, notícia, globo, reportagem, correio, biblioteca, autodromo, evangélico, sinopse, portuguesa | 1.0000
pato            | lago            | shaka, letargo, prego, purê, cavalas, rosetta, llegaste, messina, cotagiate, clauber | 0.0000
barco           | água            | arco, piauisampa, sapatos, pés, á, barbarossa, palha, desígnio, embaixo, bm | 0.0000
