rei rainha 
homem mulher
pai mãe 
gato felino 
cachorro cão
escola professor 
aluno estudante
médico paciente 
enfermeira profissional
amigo amiga 
lago mar 
rio correnteza
vermelho azul 
rosa verde
luz noite 
sol dia
velho jovem 
sábio inteligente
mãe pai 
irmão irmã
carro ônibus 
bicicleta moto
sol lua 
estrela planeta
cachorro gato 
felino animal
estudante aluno
enfermeira cirurgião
quente frio 
calor gelo
mar oceano 
rio lago
rápido lento 
veloz devagar
dia noite 
manhã tarde
fruta maçã 
vegetal alface
avó avô 
neto neta
escritor livro 
autor manuscrito
político governo 
país nação
telefone celular 
computador tablet
cineasta filme 
ator atriz
pintor quadro 
artista escultura
cão cachorro 
gato felino
verão inverno 
primavera outono
jogo jogador 
esporte time
música melodia 
nota acorde
linguagem código 
software programação
café chá 
leite bebida
estudante professor 
aula curso
fogo chama 
calor frio
filho filha
cachorro cachorro 
gato gato
professor aluno 
escola livro
médico enfermeira 
hospital paciente
avô avó 
pai mãe
professor estudante 
aluno escolar
carro motorista 
estrada viagem
estrela noite
pão manteiga 
queijo leite
artista galeria
nuvem chuva arco-
íris céu
cantor guitarra
navio mar 
água porto
fogo calor 
gelo frio
flor jardim 
árvore planta
tenis jogador 
bola esporte
caminho estrada 
rua cidade
livro leitura 
biblioteca autor
telefone comunicação 
mensagem digital
guitarra violão 
música banda
árvore alimentação
pintura cor 
tela artista
lápis papel 
escrita caneta
computador tecnologia 
internet software
lago água 
sol calor 
verão primavera
programador código 
software desenvolvedor
avião voo 
piloto aeroporto
tênis jogador 
esporte competição
festa comemoração 
aniversário celebração
cidade metrópole 
rural urbano
floresta árvore 
natureza ambiente
número matemática 
conta adição
óleo cozinha 
culinária receita
chave fechadura 
porta segurança
conta banco 
dinheiro poupança
livro capítulo 
texto parágrafo
escola aluno 
professor ensino
avião viagem 
céu destino
aroma perfume 
fragrância cheiro
cabelo cabeleireiro 
salão beleza
estudo livro 
conhecimento universidade
jornal notícia 
impressão artigo
pato lago 
ave água
barco água 
mar veleiro
amigo amizade 
companhia lealdade
médico saúde 
tratamento enfermeira
noite lua 
estrela escuridão
cachorro pet 
universidade curso 
faculdade estudante
relógio tempo 
hora minuto
carro combustível 
roda veículo 
carro transporte
música ritmo 
melodia canção
sapo lago 
rã anfíbio
esporte competição 
atleta treino
arvore floresta 
sala reunião 
escritório trabalho
rede internet 
conexão computador
animal doméstico
flores jardim 
plantas paisagismo
pintura artista 
tela cor
mar praia 
areia sol
banco dinheiro 
caixa conta
bico pássaro 
ave penas
pasta arquivo 
escritório documentos
caixa presente 
embalagem aniversário
escola alunos 
professores aprendizado
peixe água 
mar oceano
vó avó 
avô neta
arte pintura 
escultura galeria
trilha rota
bola esporte 
futebol vôlei
janela casa 
vidro abertura
tela computador 
monitor digital
teatro palco 
ator cena
bota sapato 
calçado inverno
jogo tabuleiro 
competição entretenimento
cor tela
carro viagem 
estrada conforto
telefone chamada 
mensagem comunicação
pizza comida italiana 
queijo molho
porta entrada 
saída segurança
trabalho emprego 
carreira profissão
matematica números 
equações cálculo
animal selvagem 
leão tigre
abajur iluminação 
quarto lâmpada
café bebida 
manhã despertar
caneta escrita 
papel tinta
sombra luz 
escuridão claridade
rua bairro 
cidade zona
horas minutos
cabelo penteado 
estilo salão
música banda 
cantor apresentação
janela vidro 
