Resultado das Analogias
Base            | Target          | Palavras Preditas                        | Acurácia da Analogias
------------------------------------------------------------------------------------------
rei             | rainha          | trono, monarca, rainha, governante, imperador, coroa, principe, duque, reinado, constantinopla | 1.0000
gato            | felino          | beijo, cachorro, pedaco, cabelos, menino, salpicos, olhos, misterioso, binah, ceu | 0.0000
escola          | professor       | estudante, colegio, faculdade, aulas, escolas, escolar, curso, aluna, aluno, professora | 0.0000
amigo           | amiga           | rapaz, colega, conhece, namorada, marido, amiga, descobre, garoto, amelia, amante | 1.0000
lago            | mar             | afluente, noroeste, desagua, estreito, alhambra, situada, montanhas, cordilheira, colinas, extremo | 0.0000
vermelho        | azul            | amarelo, azul, tornozeleiras, manto, direita, coluna, virens, grifo, chapeu, vermelha | 1.0000
luz             | noite           | ceu, sombra, olhos, lua, chao, suavemente, corda, sombras, cima, acasos | 0.0000
velho           | jovem           | sogro, avo, irmao, pai, primo, nobre, casal, marido, materno, esposa | 0.0000
sol             | lua             | ceu, serras, trajeto, sinos, parede, nameisabelgt, jacarepagua, fino, calca, doce | 0.0000
cachorro        | gato            | misterioso, ravensymone, gato, ariadne, raptores, solitario, fera, fada, garoto, pescador | 1.0000
escola          | professor       | estudante, colegio, faculdade, aulas, escolas, escolar, curso, aluna, aluno, professora | 0.0000
quente          | frio            | atmosfera, poeira, densa, umido, superficie, webultimojoint, agua, ondas, graus, temperaturas | 0.0000
mar             | oceano          | oceano, mediterraneo, golfo, maritimo, estreito, montanhas, sudeste, fronteira, usuarionhnh, aguas | 1.0000
dia             | noite           | manha, domingo, adiada, feriado, mes, ocorreu, sextafeira, encontro, aconteceu, madrugada | 0.0000
escritor        | livro           | jornalista, gerson, celestino, kassin, veloso, brondi, trilogia, portoalegre, folclorista, wagner | 0.0000
telefone        | celular         | criaaao, droga, instalador, favela, quotmusicquot, competitivos, garagem, fotografica, ligar, ltnoincludegta | 0.0000
cineasta        | filme           | protagonizado, comedia, brasilbr, atriz, roteirista, escritora, ator, diretormelhor, portugalpt, estrelado | 0.0000
pintor          | quadro          | poeta, escultor, renatinho, discipulo, barroco, aquarelas, epifania, famoso, celestino, biografia | 0.0000
jogo            | jogador         | nintendo, jogabilidade, katamari, xbox, mlb, playstation, multiplayer, game, digimon, jogadores | 0.0000
estudante       | professor       | trabalha, adolescente, aluno, professora, escola, amigo, medico, colega, apartamento, exmulher | 0.0000
fogo            | chama           | arma, causando, tiros, fumaca, atirar, chao, presa, barcos, aco, bala | 0.0000
cachorro        | cachorro        | misterioso, ravensymone, gato, ariadne, raptores, solitario, fera, fada, garoto, pescador | 0.0000
professor       | aluno           | doutorado, bacharel, diploma, estudou, mestrado, cursou, pesquisador, faculdade, lecionar, estudar | 0.0000
professor       | estudante       | doutorado, bacharel, diploma, estudou, mestrado, cursou, pesquisador, faculdade, lecionar, estudar | 0.0000
carro           | motorista       | tiro, correr, jipe, piloto, acorda, corrida, catamara, companheiro, acidente, arrancada | 0.0000
sol             | lua             | ceu, serras, trajeto, sinos, parede, nameisabelgt, jacarepagua, fino, calca, doce | 0.0000
pintor          | quadro          | poeta, escultor, renatinho, discipulo, barroco, aquarelas, epifania, famoso, celestino, biografia | 0.0000
navio           | mar             | navios, frota, embarcacao, danificado, marinha, tripulantes, afundou, bordo, portaavioes, hms | 0.0000
fogo            | calor           | arma, causando, tiros, fumaca, atirar, chao, presa, barcos, aco, bala | 0.0000
flor            | jardim          | viburno, gato, madrasta, poupatempo, femea, materna, arvore, feicoes, madalena, slughorn | 0.0000
tenis           | jogador         | squash, desportoremo, esportivotiro, tennis, namequotprincipalquotgt, kabaddi, mks, sports, wushu, competicoes | 0.0000
caminho         | estrada         | chao, barco, viu, encontrarem, subir, encontrar, encontra, chega, maos, fugir | 0.0000
livro           | leitura         | editora, poemas, books, alfaguara, prefacio, literaria, editado, romance, poetas, literatura | 0.0000
pintura         | cor             | pinturas, escultura, escultor, barroco, figura, gravura, gravuras, figuras, belas, fragmento | 0.0000
computador      | tecnologia      | software, conectividade, computadores, microcontrolador, megabytes, videogames, utiliza, hardware, processador, cpu | 0.0000
sol             | calor           | ceu, serras, trajeto, sinos, parede, nameisabelgt, jacarepagua, fino, calca, doce | 0.0000
chave           | fechadura       | egybtamanhoxpx, roddick, timbu, shiratori, holley, kaima, ltligt, issamu, hitomi, baralho | 0.0000
conta           | banco           | ontem, vandalismo, sizequotquotgtltigtyanguasltigtltfontgt, colorquotecquotgtltttgtdltttgtltfontgt, sysops, faco, colorquotmidnightbluequot, conheco, lixo, gostaria | 0.0000
escola          | aluno           | estudante, colegio, faculdade, aulas, escolas, escolar, curso, aluna, aluno, professora | 1.0000
